Rank,Card_Name,Type,Affinity,Description,Affinity_Image,Main_Image,Image
6,Ritualistic Scars,Event/Hazard,Blood,"Deep, ancient carvings depicting blood sacrifices adorn the walls, still glistening faintly. Stepping too close can awaken dormant energies. Resolve: Randomly choose one equipped item and discard. You may gain 1 Blood-aligned Equipment Card if Aligned. ",Blood.png,Ritualistic Scars.jpg,https://i.imgur.com/Ci5KkeS.jpeg
7,Maddened Beast,Minor Threat,Blood,"A hulking, rage-blinded creature lunges from the shadows, its eyes burning with uncontrollable fury and its hide matted with gore. Resolve: Engage a Minor Threat with Blood Affinity. If victorious, gain +1 Corruption.",Blood.png,Maddened Beast.jpg,https://i.imgur.com/hWkCqZK.jpeg
8,Crimson Weeping Walls,Hazard/Obstacle,Blood,"The dungeon walls here seep a viscous, crimson fluid. It's slippery underfoot and clings to everything, slowing progress. Resolve: Agility check. Success: You bypass the effect. Fail: Your next action phase has 1 less AP.",Blood.png,Crimson Weeping Walls.jpg,https://i.imgur.com/hFyVZVr.jpeg
9,Bloodied Relic,Discovery/Loot,Blood,"Amidst a pile of unfortunate remains, a grim relic gleams faintly, covered in dried vitae. It resonates with potent, dark power. Resolve: Gain 1 Equipment Card. If the card is Blood-aligned, gain an additional +1 AT this turn.",Blood.png,Bloodied Relic.jpg,https://i.imgur.com/f6T51Jm.jpeg
10,Crimson Gorge,Hazard/Discovery,Blood,"The ground crumbles into a vast chasm, its depths glowing with an unholy crimson light. Strange, pulsating veins line the rock, beckoning or repelling. Resolve: You may attempt to cross. Strength check (less 1 die). Success: Find a Blood-aligned Equipment Card. Fail: Suffer 2 LE.",Blood.png,Crimson Gorge.jpg,https://i.imgur.com/Og6E3g5.jpeg
6,Restless Spirits,Minor Threat,Bone,"Whispers of the long-dead swirl around you, chilling your very soul. Phantoms drift through the air, their mournful cries echoing from empty eye sockets. Resolve: Engage a Minor Threat with Bone Affinity. If victorious, collect 10 Gold.",Bone.png,Restles Spirits.jpg,
7,The Crypt-Keeper's Mark,Hazard/Event,Bone,"An ominous symbol carved into the floor glows faintly, drawing you in with morbid fascination. Resolve: If you have Bone Affinity, you may attempt to decipher it. Agility Check. Success: Draw 1 Equipment Card. Fail: Suffer -1 LE.",Bone.png,The Crypt Keepers Mark.jpg,
8,Cairn of Echoes,Discovery,Bone,"A solemn cairn of stones, each placed with grim purpose. Placing your hand upon it reveals faint, ancient memories. Resolve: Choose one. Either gain 10 Gold, or draw 1 Loot Item Card.",Bone.png,Cairn of Echoes.jpg,
9,Bone Gate,Obstacle/Discovery,Bone,"A massive, intricately carved gate made of fused bones blocks your path. Ancient runes of protection are etched into its surface. Resolve: Requires 4 Strength or 1 Bone Affinity card from hand to open. Success: You bypass this obstacle. Fail: You must discard 1 equipped item. ",Bone.png,Bone Gate.jpg,
10,Sepulchral Maw,Hazard/Obstacle,Bone,"A vast, yawning cavern filled with skeletal remains, resembling the gaping mouth of some colossal, long-dead beast. Resolve: Requires a successful  Agility check to navigate. Fail: Suffer 2 LE and gain 1 Corruption token.",Bone.png,Sepulchral Maw.jpg,
